Título,Autores,Año,Enlace,Institución
Enfoque transdisciplinar en los Estudios Migratorios: experiencias en laUniversidad de La Habana,"AM Pastrana, GM Peniche - Educación y sociedad, 2022 - dialnet.unirioja.es",2022,https://dialnet.unirioja.es/servlet/articulo?codigo=8517777,Universidad de La Habana
[PDF][PDF]Gestión de la investigación en la Facultad de Comunicación de laUniversidad de La Habana: hacia una concepción estratégica,"ML Muro,LM Santana, T del Pino Más, YR Cruz… - Razón y …, 2015 - redalyc.org",2015,https://www.redalyc.org/pdf/1995/199543036004.pdf,Universidad de La Habana
Hacia un marxismo cubano. El Departamento de Filosofía de laUniversidad de La Habanaen sus primeras etapas (1962-1965).,"VG Lage - Naveg@ merica. Revista electrónica editada por la …, 2021 - revistas.um.es",2021,https://revistas.um.es/navegamerica/article/view/492121,Universidad de La Habana
… de los conocimientos matemáticos en el currículum del profesional de la información. Estudio de caso: Facultad de Comunicación de laUniversidad de La Habana,"L Díaz Castillo, N Sokol,I Licea Jiménez- Alcance, 2018 - scielo.sld.cu",2018,http://scielo.sld.cu/scielo.php?pid=S2411-99702018000300054&script=sci_arttext&tlng=en,Universidad de La Habana
[HTML][HTML]Primer acercamiento a la situación de los catálogos en línea de la red de bibliotecas de laUniversidad de La Habana,"A Campos Herrera, Y Chapman Baró… - Revista Cubana de …, 2015 - scielo.sld.cu",2015,http://scielo.sld.cu/scielo.php?pid=S2307-21132015000300008&script=sci_arttext&tlng=en,Universidad de La Habana
[PDF][PDF]Imaginarios de Género en Facebook: Estudio de caso en estudiantes de laUniversidad de La Habana.,"AL Fernández, LEF Rius - Razón y Palabra, 2015 - redalyc.org",2015,https://www.redalyc.org/pdf/1995/199543036019.pdf,Universidad de La Habana
[PDF][PDF]De la obligación institucional a la conciencia ambiental: el reto de la ambientalización en laUniversidad de La Habana.,"GE Quintana,JEG Mateos- Estudios del Desarrollo Social: Cuba y …, 2014 - redalyc.org",2014,https://www.redalyc.org/pdf/5523/552357195009.pdf,Universidad de La Habana
[HTML][HTML]Rendimiento académico en estudiantes de Psicología,"A García Cabezas,AA Vázquez-Universidad de La Habana, 2019 - scielo.sld.cu",2019,http://scielo.sld.cu/scielo.php?pid=S0253-92762019000200128&script=sci_arttext,Universidad de La Habana
[PDF][PDF]… PERVASIVA: una propuesta para mejorar el servicio de Diseminación Selectiva de la Información de la Biblioteca Central de laUniversidad de La Habana.,"E Bisset Alvarez,SA Borsetti Gregorio Vidotti- 2016 - academia.edu",2016,https://www.academia.edu/download/87906572/arquitectura_informacion_bisset_gregorio.pdf,Universidad de La Habana
"[PDF][PDF]Composición de la colección científica de aves del Museo de Historia Natural “Felipe Poey”,Universidad de La Habana","I García-Lau, AG Alfonso - Revista Cubana de Ciencias …, 2016 - researchgate.net",2016,https://www.researchgate.net/profile/Ianela-Garcia-Lau/publication/294725527_Composicion_de_la_coleccion_cientifica_de_aves_del_Museo_de_Historia_Natural_Felipe_Poey_Universidad_de_La_Habana/links/56c3410508ae602342508265/Composicion-de-la-coleccion-cientifica-de-aves-del-Museo-de-Historia-Natural-Felipe-Poey-Universidad-de-La-Habana.pdf,Universidad de La Habana
… jóvenes periodistas? Un acercamiento a las trayectorias profesionales de graduados de la Facultad de Comunicación de laUniversidad de La Habanaentre 2010 y …,"AR García Elizalde, A Somohano Fernández… - Alcance, 2018 - scielo.sld.cu",2018,http://scielo.sld.cu/scielo.php?pid=S2411-99702018000400029&script=sci_abstract,Universidad de La Habana
… medir el impacto del nivel de uso y acceso a algunas TIC en el promedio académico de estudiantes de la Facultad de Economía de laUniversidad de La Habana,"YP Cárdenas - Cuadernos de Educación y Desarrollo, 2012 - ideas.repec.org",2012,https://ideas.repec.org/a/erv/cedced/y2012i306.html,Universidad de La Habana
Gestión del Proyecto BIVIO de la Facultad de Comunicación de laUniversidad de La Habanacon el enfoque de la Metodología de Marco Lógico.,"VM González- Revista Publicando, 2016 - dialnet.unirioja.es",2016,https://dialnet.unirioja.es/servlet/articulo?codigo=5833560,Universidad de La Habana
"… de la investigación, la tecnología y la innovación: Experiencias del proyecto de Acceso Abierto de la Facultad de Comunicación de laUniversidad de La Habana","NS Alés- Revista Publicando, 2020 - revistapublicando.org",2020,https://www.revistapublicando.org/revista/index.php/crv/article/view/2128,Universidad de La Habana
[HTML][HTML]El acompañamiento familiar en los procesos educativos durante la infancia: un acercamiento a través de estudios de casos,"N Avila Vargas, S Giannotti Vázquez -Universidad de La Habana, 2021 - scielo.sld.cu",2021,http://scielo.sld.cu/scielo.php?pid=S0253-92762021000100004&script=sci_arttext,Universidad de La Habana
"la Historia del Centro de Investigaciones Marinas,Universidad de La Habana, 1970-2015. Parte I.","AM Suárez,TG Galano, M Ortiz - Revista de investigaciones …, 2016 - dialnet.unirioja.es",2016,https://dialnet.unirioja.es/servlet/articulo?codigo=9429742,Universidad de La Habana
[HTML][HTML]Del Derecho Administrativo en Cuba: breves trazos evolutivos y pequeña introducción a su definición,"A Matilla Correa-Universidad de La Habana, 2019 - scielo.sld.cu",2019,http://scielo.sld.cu/scielo.php?pid=S0253-92762019000100001&script=sci_arttext,Universidad de La Habana
La ciencia universitaria en el contexto de los cambios en el modelo económico y social: lecciones del pasado y miradas hacia adelante,"J Núñez Jover-Universidad de La Habana, 2013 - biblat.unam.mx",2013,https://biblat.unam.mx/es/revista/universidad-de-la-habana/articulo/la-ciencia-universitaria-en-el-contexto-de-los-cambios-en-el-modelo-economico-y-social-lecciones-del-pasado-y-miradas-hacia-adelante,Universidad de La Habana
Recurso educativo de m-learning para la formación posgraduada en laUniversidad de La Habana,"FJR Azcuy- Cuadernos de Educación y Desarrollo, 2020 - ojs.europubpublications.com",2020,https://ojs.europubpublications.com/ojs/index.php/ced/article/view/798,Universidad de La Habana
[PDF][PDF]Aplicación del Cuadro de Mando Integral en servicios universitarios no académicos de laUniversidad de La Habana,"JJD Menéndez - Estrategia y Gestión Universitaria, 2013 - revistas.unica.cu",2013,https://revistas.unica.cu/index.php/regu/article/download/14/607,Universidad de La Habana
[HTML][HTML]La Constitución cubana de 2019: nuevos contenidos y necesidades,"M Prieto Valdés-Universidad de La Habana, 2020 - scielo.sld.cu",2020,http://scielo.sld.cu/scielo.php?pid=S0253-92762020000100003&script=sci_arttext&tlng=pt,Universidad de La Habana
Municipio y política pública local. Una mirada al contexto cubano desde la Constitución,"L Pérez Hernández,OJ Díaz Legón-Universidad de La Habana, 2020 - scielo.sld.cu",2020,http://scielo.sld.cu/scielo.php?pid=S0253-92762020000100257&script=sci_arttext&tlng=pt,Universidad de La Habana
[HTML][HTML]Un espejo entre la universidad y la sociedad: la extensión universitaria,"A Montero Esteva,LA Montero Cabrera-Universidad de La Habana, 2017 - scielo.sld.cu",2017,http://scielo.sld.cu/scielo.php?pid=S0253-92762017000100008&script=sci_arttext,Universidad de La Habana
